"run","tick","Wolf Count","Sheep Count"
1,1.0,5432,3432
1,2.0,6181,3626
1,3.0,7049,3782
1,4.0,7975,3908
1,5.0,9148,3998
1,6.0,10483,3964
1,7.0,12001,3969
1,8.0,13783,3934
1,9.0,15817,3800
1,10.0,18224,3722
1,11.0,20861,3642
1,12.0,23927,3624
1,13.0,27426,3693
1,14.0,31216,3793
1,15.0,35388,3872
1,16.0,39835,4031
1,17.0,44336,4249
1,18.0,49089,4507
1,19.0,53574,4757
1,20.0,57356,5100
1,21.0,60508,5477
1,22.0,62697,5902
1,23.0,63131,6467
1,24.0,61698,6935
1,25.0,58438,7595
1,26.0,53903,8297
1,27.0,48377,8992
1,28.0,42291,9789
1,29.0,36572,10634
1,30.0,31515,11521
1,31.0,26913,12478
1,32.0,22929,13496
1,33.0,19894,14557
1,34.0,17419,15661
1,35.0,15500,16738
1,36.0,14373,17703
1,37.0,13428,18685
1,38.0,12710,19676
1,39.0,12291,20580
1,40.0,12050,21352
1,41.0,11966,22130
1,42.0,11909,22758
1,43.0,12013,23344
1,44.0,12216,23813
1,45.0,12440,24310
1,46.0,12522,24620
1,47.0,12607,25056
1,48.0,12812,25420
1,49.0,12958,25785
1,50.0,13063,25976
1,51.0,13085,26343
1,52.0,13102,26445
1,53.0,13011,26672
1,54.0,12828,26757
1,55.0,12733,26956
1,56.0,12625,27239
1,57.0,12477,27414
1,58.0,12302,27483
1,59.0,11959,27621
1,60.0,11540,27639
1,61.0,11360,27635
1,62.0,11103,27593
1,63.0,10989,27463
1,64.0,10671,27483
1,65.0,10450,27275
1,66.0,10183,27117
1,67.0,10031,26964
1,68.0,9864,26742
1,69.0,9719,26356
1,70.0,9645,25991
1,71.0,9607,25438
1,72.0,9621,25148
1,73.0,9688,24649
1,74.0,9719,24173
1,75.0,9942,23583
1,76.0,10144,23100
1,77.0,10382,22700
1,78.0,10702,22239
1,79.0,11004,21790
1,80.0,11338,21156
1,81.0,11700,20808
1,82.0,12092,20549
1,83.0,12579,20267
1,84.0,13066,19960
1,85.0,13619,19838
1,86.0,14149,19733
1,87.0,14744,19606
1,88.0,15171,19687
1,89.0,15757,19797
1,90.0,16327,19911
1,91.0,16807,20077
1,92.0,17024,20190
1,93.0,17281,20491
1,94.0,17404,20815
1,95.0,17673,21150
1,96.0,17703,21677
1,97.0,17650,22006
1,98.0,17468,22403
1,99.0,17266,22807
1,100.0,16912,23349
1,101.0,16531,23739
1,102.0,16027,24242
1,103.0,15550,24790
1,104.0,15144,25176
1,105.0,14621,25654
1,106.0,14136,26096
1,107.0,13585,26479
1,108.0,12914,26838
1,109.0,12470,27141
1,110.0,12008,27397
1,111.0,11599,27512
1,112.0,11303,27729
1,113.0,10902,27783
1,114.0,10528,27688
1,115.0,10257,27619
1,116.0,10133,27498
1,117.0,10034,27241
1,118.0,9990,26947
1,119.0,9889,26665
1,120.0,9902,26219
1,121.0,9933,25823
1,122.0,10007,25357
1,123.0,10019,24975
1,124.0,10105,24528
1,125.0,10283,24097
1,126.0,10445,23649
1,127.0,10604,23192
1,128.0,10900,22655
1,129.0,11076,22271
1,130.0,11373,21980
1,131.0,11714,21761
1,132.0,12017,21405
1,133.0,12418,21236
1,134.0,12820,20988
1,135.0,13285,20801
1,136.0,13572,20639
1,137.0,13959,20481
1,138.0,14386,20235
1,139.0,14807,20256
1,140.0,15266,20347
1,141.0,15704,20513
1,142.0,16106,20545
1,143.0,16404,20754
1,144.0,16597,20965
1,145.0,16785,21127
1,146.0,16953,21407
1,147.0,17051,21667
1,148.0,17202,21918
1,149.0,17151,22395
1,150.0,17142,22661
1,151.0,17002,23154
1,152.0,16779,23610
1,153.0,16373,24008
1,154.0,15886,24495
1,155.0,15354,24946
1,156.0,14975,25472
1,157.0,14568,25991
1,158.0,14037,26545
1,159.0,13478,26965
1,160.0,12983,27316
1,161.0,12534,27513
1,162.0,12109,27584
1,163.0,11644,27804
1,164.0,11221,27834
1,165.0,10925,27778
1,166.0,10613,27746
1,167.0,10403,27592
1,168.0,10167,27514
1,169.0,9983,27132
1,170.0,10015,26776
1,171.0,9957,26463
1,172.0,9925,26111
1,173.0,9845,25837
1,174.0,9993,25417
1,175.0,10033,25153
1,176.0,10079,24702
1,177.0,10259,24285
1,178.0,10454,23866
1,179.0,10611,23310
1,180.0,10893,22879
1,181.0,11092,22396
1,182.0,11339,21907
1,183.0,11690,21478
1,184.0,11998,21095
1,185.0,12526,20804
1,186.0,12885,20751
1,187.0,13340,20451
1,188.0,13765,20194
1,189.0,14303,20060
1,190.0,14824,20013
1,191.0,15205,19929
1,192.0,15635,20062
1,193.0,16055,20176
1,194.0,16475,20456
1,195.0,16897,20606
1,196.0,17110,20779
1,197.0,17282,21152
1,198.0,17292,21464
1,199.0,17283,21850
1,200.0,17201,22251
