"run","tick","Wolf Count","Sheep Count"
1,1.0,1375,865
1,2.0,1624,903
1,3.0,1869,934
1,4.0,2187,975
1,5.0,2582,994
1,6.0,3010,973
1,7.0,3551,936
1,8.0,4211,860
1,9.0,4990,786
1,10.0,5909,716
1,11.0,6965,632
1,12.0,8264,568
1,13.0,9787,530
1,14.0,11573,499
1,15.0,13734,463
1,16.0,16280,438
1,17.0,19362,418
1,18.0,23002,402
1,19.0,27301,398
1,20.0,32135,404
1,21.0,37818,405
1,22.0,44202,414
1,23.0,51276,435
1,24.0,58505,475
1,25.0,65712,506
1,26.0,71984,547
1,27.0,76369,587
1,28.0,78407,644
1,29.0,78152,703
1,30.0,74820,762
1,31.0,69618,839
1,32.0,63009,927
1,33.0,55766,1020
1,34.0,48886,1112
1,35.0,42788,1211
1,36.0,37610,1322
1,37.0,33625,1429
1,38.0,30282,1539
1,39.0,28004,1682
1,40.0,26576,1814
1,41.0,25706,1941
1,42.0,25735,2107
1,43.0,26241,2275
1,44.0,27211,2469
1,45.0,28791,2656
1,46.0,30933,2846
1,47.0,33117,3026
1,48.0,35740,3200
1,49.0,37950,3418
1,50.0,40013,3692
1,51.0,41926,3947
1,52.0,43087,4215
1,53.0,43628,4539
1,54.0,43350,4877
1,55.0,42461,5235
1,56.0,40894,5665
1,57.0,38591,6144
1,58.0,35672,6603
1,59.0,32829,7050
1,60.0,29715,7578
1,61.0,26916,8158
1,62.0,24281,8772
1,63.0,22145,9434
1,64.0,20336,9988
1,65.0,18915,10679
1,66.0,17674,11310
1,67.0,17110,11910
1,68.0,16774,12513
1,69.0,16764,13118
1,70.0,16815,13674
1,71.0,17135,14202
1,72.0,17528,14757
1,73.0,18196,15319
1,74.0,18707,15874
1,75.0,19448,16422
1,76.0,20186,17084
1,77.0,20851,17675
1,78.0,21414,18333
1,79.0,21884,19052
1,80.0,22050,19750
1,81.0,22032,20509
1,82.0,21872,21322
1,83.0,21531,22160
1,84.0,21005,23022
1,85.0,20202,24082
1,86.0,19332,25037
1,87.0,18235,26210
1,88.0,17134,27235
1,89.0,15923,28203
1,90.0,14674,29083
1,91.0,13308,29933
1,92.0,12214,30833
1,93.0,11261,31499
1,94.0,10338,31943
1,95.0,9551,32410
1,96.0,8744,32578
1,97.0,8180,32531
1,98.0,7703,32418
1,99.0,7201,32213
1,100.0,6840,31636
1,101.0,6518,31184
1,102.0,6395,30487
1,103.0,6333,29433
1,104.0,6220,28395
1,105.0,6194,27437
1,106.0,6290,26501
1,107.0,6423,25428
1,108.0,6526,24213
1,109.0,6773,23097
1,110.0,6986,21937
1,111.0,7330,20905
1,112.0,7710,19943
1,113.0,8165,18957
1,114.0,8693,18182
1,115.0,9352,17447
1,116.0,10031,16575
1,117.0,10838,15967
1,118.0,11664,15382
1,119.0,12657,15007
1,120.0,13635,14595
1,121.0,14826,14388
1,122.0,16057,14304
1,123.0,17318,14207
1,124.0,18712,14223
1,125.0,19978,14291
1,126.0,21390,14470
1,127.0,22828,14676
1,128.0,24115,14984
1,129.0,25048,15439
1,130.0,25849,15961
1,131.0,26261,16591
1,132.0,26459,17290
1,133.0,26155,17952
1,134.0,25570,18813
1,135.0,24613,19655
1,136.0,23472,20544
1,137.0,22135,21638
1,138.0,20723,22604
1,139.0,19158,23588
1,140.0,17658,24497
1,141.0,16339,25528
1,142.0,15084,26408
1,143.0,13898,27295
1,144.0,12815,27968
1,145.0,11959,28528
1,146.0,11166,29150
1,147.0,10547,29706
1,148.0,9883,30128
1,149.0,9366,30335
1,150.0,8957,30330
1,151.0,8586,30231
1,152.0,8334,29980
1,153.0,8074,29757
1,154.0,7947,29291
1,155.0,7857,28829
1,156.0,7767,28347
1,157.0,7747,27737
1,158.0,7655,27007
1,159.0,7768,26075
1,160.0,7874,25277
1,161.0,8042,24513
1,162.0,8171,23689
1,163.0,8327,22824
1,164.0,8590,22011
1,165.0,8948,21210
1,166.0,9356,20530
1,167.0,9891,19831
1,168.0,10401,19263
1,169.0,10996,18713
1,170.0,11715,18219
1,171.0,12323,17845
1,172.0,13013,17347
1,173.0,13819,17077
1,174.0,14633,16848
1,175.0,15520,16704
1,176.0,16436,16562
1,177.0,17320,16641
1,178.0,18361,16816
1,179.0,19230,17074
1,180.0,20054,17380
1,181.0,20809,17665
1,182.0,21410,18058
1,183.0,21799,18515
1,184.0,22110,18895
1,185.0,22136,19605
1,186.0,21851,20372
1,187.0,21437,21056
1,188.0,20723,21818
1,189.0,19950,22593
1,190.0,19140,23416
1,191.0,18079,24336
1,192.0,17047,25153
1,193.0,16105,26026
1,194.0,15263,26763
1,195.0,14304,27407
1,196.0,13394,28014
1,197.0,12563,28647
1,198.0,11727,29272
1,199.0,11024,29583
1,200.0,10355,29797
