"run","tick","Wolf Count","Sheep Count"
1,1.0,5319,3431
1,2.0,5902,3628
1,3.0,6662,3827
1,4.0,7453,3994
1,5.0,8337,4104
1,6.0,9268,4176
1,7.0,10312,4247
1,8.0,11392,4299
1,9.0,12425,4356
1,10.0,13611,4466
1,11.0,14867,4593
1,12.0,16108,4765
1,13.0,17201,4973
1,14.0,18384,5182
1,15.0,19502,5400
1,16.0,20414,5736
1,17.0,21259,6094
1,18.0,21539,6544
1,19.0,21630,7060
1,20.0,21373,7565
1,21.0,20941,8150
1,22.0,19980,8718
1,23.0,18939,9419
1,24.0,17469,10111
1,25.0,15831,10869
1,26.0,13926,11654
1,27.0,12165,12513
1,28.0,10529,13316
1,29.0,9050,14237
1,30.0,7658,15068
1,31.0,6532,15816
1,32.0,5599,16667
1,33.0,4792,17360
1,34.0,4211,17977
1,35.0,3724,18527
1,36.0,3303,19038
1,37.0,2964,19191
1,38.0,2709,19354
1,39.0,2496,19416
1,40.0,2311,19144
1,41.0,2187,18797
1,42.0,2055,18256
1,43.0,1963,17652
1,44.0,1882,16855
1,45.0,1844,15980
1,46.0,1814,15126
1,47.0,1764,14252
1,48.0,1834,13358
1,49.0,1892,12453
1,50.0,1947,11529
1,51.0,1994,10731
1,52.0,2075,10020
1,53.0,2142,9294
1,54.0,2295,8567
1,55.0,2521,7931
1,56.0,2796,7393
1,57.0,3105,6899
1,58.0,3466,6333
1,59.0,3853,5880
1,60.0,4311,5506
1,61.0,4881,5184
1,62.0,5528,4937
1,63.0,6198,4670
1,64.0,6976,4516
1,65.0,7821,4405
1,66.0,8782,4382
1,67.0,9834,4361
1,68.0,10944,4392
1,69.0,12255,4416
1,70.0,13593,4493
1,71.0,14996,4629
1,72.0,16304,4796
1,73.0,17431,4989
1,74.0,18175,5188
1,75.0,18878,5422
1,76.0,19072,5749
1,77.0,18729,6121
1,78.0,18137,6503
1,79.0,16944,6947
1,80.0,15633,7409
1,81.0,14187,7883
1,82.0,13011,8411
1,83.0,11609,8936
1,84.0,10337,9496
1,85.0,9285,10062
1,86.0,8366,10689
1,87.0,7566,11207
1,88.0,6942,11683
1,89.0,6426,12193
1,90.0,5959,12563
1,91.0,5690,12961
1,92.0,5481,13204
1,93.0,5227,13437
1,94.0,5052,13640
1,95.0,5007,13776
1,96.0,4848,13879
1,97.0,4828,13972
1,98.0,4817,13965
1,99.0,4837,13943
1,100.0,4816,13929
1,101.0,4804,13744
1,102.0,4854,13554
1,103.0,4851,13265
1,104.0,4924,13075
1,105.0,4981,12835
1,106.0,5034,12598
1,107.0,5082,12454
1,108.0,5095,12220
1,109.0,5191,11981
1,110.0,5277,11795
1,111.0,5328,11649
1,112.0,5447,11462
1,113.0,5589,11374
1,114.0,5727,11223
1,115.0,5864,11138
1,116.0,6060,11037
1,117.0,6216,10832
1,118.0,6360,10662
1,119.0,6558,10670
1,120.0,6695,10641
1,121.0,6891,10545
1,122.0,7051,10448
1,123.0,7175,10467
1,124.0,7363,10581
1,125.0,7495,10660
1,126.0,7671,10670
1,127.0,7769,10727
1,128.0,7857,10764
1,129.0,7948,10870
1,130.0,7926,11070
1,131.0,7925,11256
1,132.0,7822,11369
1,133.0,7820,11562
1,134.0,7782,11720
1,135.0,7596,11832
1,136.0,7427,12000
1,137.0,7341,12211
1,138.0,7286,12327
1,139.0,7167,12423
1,140.0,6998,12561
1,141.0,6850,12641
1,142.0,6713,12716
1,143.0,6590,12824
1,144.0,6405,12969
1,145.0,6259,13076
1,146.0,6146,13109
1,147.0,5995,13092
1,148.0,5872,13088
1,149.0,5854,13049
1,150.0,5779,13026
1,151.0,5755,13074
1,152.0,5630,13003
1,153.0,5554,13027
1,154.0,5497,13001
1,155.0,5448,12924
1,156.0,5450,12803
1,157.0,5390,12631
1,158.0,5446,12548
1,159.0,5467,12541
1,160.0,5506,12300
1,161.0,5548,12271
1,162.0,5630,12073
1,163.0,5647,11956
1,164.0,5656,11792
1,165.0,5656,11694
1,166.0,5690,11584
1,167.0,5773,11489
1,168.0,5949,11326
1,169.0,6122,11319
1,170.0,6220,11163
1,171.0,6296,11092
1,172.0,6417,10938
1,173.0,6572,10837
1,174.0,6718,10675
1,175.0,6850,10629
1,176.0,6960,10692
1,177.0,7149,10735
1,178.0,7293,10723
1,179.0,7382,10774
1,180.0,7369,10788
1,181.0,7434,10845
1,182.0,7524,10948
1,183.0,7530,11096
1,184.0,7450,11186
1,185.0,7528,11324
1,186.0,7516,11389
1,187.0,7531,11524
1,188.0,7497,11627
1,189.0,7504,11785
1,190.0,7396,12015
1,191.0,7311,12115
1,192.0,7154,12251
1,193.0,7035,12336
1,194.0,6982,12572
1,195.0,6821,12751
1,196.0,6676,12846
1,197.0,6570,12942
1,198.0,6393,12993
1,199.0,6371,13059
1,200.0,6260,13119
