"run","tick","Wolf Count","Sheep Count"
1,1.0,427,647
1,2.0,453,690
1,3.0,492,717
1,4.0,545,744
1,5.0,592,753
1,6.0,648,771
1,7.0,695,802
1,8.0,770,813
1,9.0,809,787
1,10.0,877,762
1,11.0,979,755
1,12.0,1048,760
1,13.0,1164,758
1,14.0,1282,747
1,15.0,1412,750
1,16.0,1529,777
1,17.0,1685,807
1,18.0,1807,854
1,19.0,1908,883
1,20.0,2003,923
1,21.0,2103,952
1,22.0,2213,999
1,23.0,2289,1061
1,24.0,2322,1109
1,25.0,2341,1182
1,26.0,2335,1274
1,27.0,2163,1335
1,28.0,2023,1428
1,29.0,1844,1533
1,30.0,1676,1609
1,31.0,1464,1731
1,32.0,1300,1828
1,33.0,1109,1906
1,34.0,956,1991
1,35.0,838,2100
1,36.0,703,2162
1,37.0,633,2267
1,38.0,560,2355
1,39.0,482,2422
1,40.0,417,2473
1,41.0,392,2530
1,42.0,354,2535
1,43.0,311,2528
1,44.0,294,2449
1,45.0,264,2378
1,46.0,247,2292
1,47.0,253,2207
1,48.0,249,2111
1,49.0,233,2069
1,50.0,224,1994
1,51.0,235,1839
1,52.0,234,1747
1,53.0,229,1618
1,54.0,237,1523
1,55.0,249,1387
1,56.0,259,1265
1,57.0,275,1162
1,58.0,293,1081
1,59.0,319,982
1,60.0,349,919
1,61.0,382,883
1,62.0,432,803
1,63.0,468,747
1,64.0,535,689
1,65.0,611,640
1,66.0,668,601
1,67.0,748,557
1,68.0,857,539
1,69.0,980,525
1,70.0,1116,511
1,71.0,1241,502
1,72.0,1419,516
1,73.0,1593,511
1,74.0,1767,521
1,75.0,1972,522
1,76.0,2155,552
1,77.0,2312,584
1,78.0,2431,624
1,79.0,2561,654
1,80.0,2600,708
1,81.0,2527,760
1,82.0,2394,790
1,83.0,2235,860
1,84.0,2048,929
1,85.0,1792,977
1,86.0,1600,1032
1,87.0,1405,1115
1,88.0,1273,1183
1,89.0,1143,1242
1,90.0,1023,1316
1,91.0,952,1369
1,92.0,859,1453
1,93.0,805,1508
1,94.0,785,1545
1,95.0,719,1606
1,96.0,706,1649
1,97.0,699,1700
1,98.0,685,1731
1,99.0,649,1718
1,100.0,647,1739
1,101.0,643,1759
1,102.0,647,1727
1,103.0,640,1704
1,104.0,622,1711
1,105.0,620,1716
1,106.0,623,1675
1,107.0,642,1655
1,108.0,645,1624
1,109.0,647,1596
1,110.0,638,1582
1,111.0,632,1600
1,112.0,633,1610
1,113.0,635,1620
1,114.0,633,1602
1,115.0,620,1604
1,116.0,636,1573
1,117.0,653,1559
1,118.0,646,1530
1,119.0,657,1477
1,120.0,662,1443
1,121.0,660,1413
1,122.0,713,1393
1,123.0,743,1380
1,124.0,765,1401
1,125.0,801,1384
1,126.0,838,1373
1,127.0,851,1359
1,128.0,890,1353
1,129.0,923,1351
1,130.0,952,1371
1,131.0,940,1354
1,132.0,946,1349
1,133.0,989,1341
1,134.0,1008,1340
1,135.0,1020,1365
1,136.0,1039,1379
1,137.0,1010,1379
1,138.0,1007,1418
1,139.0,1006,1435
1,140.0,1005,1464
1,141.0,993,1505
1,142.0,989,1523
1,143.0,955,1532
1,144.0,898,1560
1,145.0,876,1604
1,146.0,866,1666
1,147.0,827,1650
1,148.0,829,1677
1,149.0,801,1680
1,150.0,774,1702
1,151.0,733,1724
1,152.0,697,1749
1,153.0,682,1793
1,154.0,681,1769
1,155.0,642,1770
1,156.0,614,1722
1,157.0,614,1724
1,158.0,587,1683
1,159.0,585,1687
1,160.0,612,1647
1,161.0,588,1604
1,162.0,584,1612
1,163.0,569,1577
1,164.0,572,1559
1,165.0,575,1526
1,166.0,579,1487
1,167.0,606,1444
1,168.0,626,1414
1,169.0,656,1369
1,170.0,671,1350
1,171.0,680,1343
1,172.0,703,1315
1,173.0,696,1273
1,174.0,705,1240
1,175.0,757,1246
1,176.0,831,1233
1,177.0,868,1239
1,178.0,893,1215
1,179.0,947,1201
1,180.0,947,1211
1,181.0,1017,1193
1,182.0,1051,1184
1,183.0,1063,1217
1,184.0,1112,1223
1,185.0,1131,1246
1,186.0,1153,1252
1,187.0,1153,1232
1,188.0,1201,1249
1,189.0,1188,1260
1,190.0,1182,1294
1,191.0,1132,1319
1,192.0,1140,1336
1,193.0,1136,1376
1,194.0,1091,1438
1,195.0,1048,1442
1,196.0,1037,1512
1,197.0,1014,1538
1,198.0,982,1575
1,199.0,949,1572
1,200.0,919,1610
