"run","tick","Wolf Count","Sheep Count"
1,1.0,42521,27245
1,2.0,47372,28780
1,3.0,52938,30249
1,4.0,59074,31461
1,5.0,65472,32660
1,6.0,72949,33379
1,7.0,80884,33968
1,8.0,89546,34551
1,9.0,98984,35204
1,10.0,108710,36044
1,11.0,118605,37254
1,12.0,128861,38577
1,13.0,138709,40369
1,14.0,148407,42484
1,15.0,157297,44914
1,16.0,164412,47696
1,17.0,169920,50807
1,18.0,172991,54311
1,19.0,173735,58159
1,20.0,172007,62284
1,21.0,167801,66889
1,22.0,160618,71877
1,23.0,151870,77654
1,24.0,139931,83541
1,25.0,126172,89812
1,26.0,111170,96535
1,27.0,96396,103562
1,28.0,82775,110759
1,29.0,70168,117726
1,30.0,59243,124767
1,31.0,49939,131520
1,32.0,42322,138061
1,33.0,36183,143872
1,34.0,31384,149129
1,35.0,27484,152757
1,36.0,24326,155703
1,37.0,21737,157112
1,38.0,19717,157019
1,39.0,18154,155369
1,40.0,16894,152712
1,41.0,15871,148980
1,42.0,14961,144044
1,43.0,14381,138648
1,44.0,14075,132142
1,45.0,13844,124985
1,46.0,13871,117755
1,47.0,13983,110271
1,48.0,14191,102507
1,49.0,14809,95242
1,50.0,15485,88126
1,51.0,16375,81384
1,52.0,17406,75222
1,53.0,18709,69387
1,54.0,20375,63940
1,55.0,22259,59210
1,56.0,24455,54735
1,57.0,27134,50713
1,58.0,30256,47302
1,59.0,33666,44361
1,60.0,37849,41823
1,61.0,42597,39469
1,62.0,48079,37560
1,63.0,54288,36143
1,64.0,61153,35184
1,65.0,68908,34592
1,66.0,77486,34085
1,67.0,87053,34086
1,68.0,97251,34477
1,69.0,107674,35066
1,70.0,118285,36115
1,71.0,128578,37388
1,72.0,137673,38898
1,73.0,145154,40776
1,74.0,150102,42876
1,75.0,152131,45401
1,76.0,151094,48370
1,77.0,146703,51545
1,78.0,139469,55013
1,79.0,130131,58768
1,80.0,119229,62689
1,81.0,107763,66940
1,82.0,96924,71349
1,83.0,87047,75772
1,84.0,78007,80243
1,85.0,70475,84718
1,86.0,64027,89236
1,87.0,58873,93477
1,88.0,54288,97503
1,89.0,50819,101201
1,90.0,48127,104685
1,91.0,45913,107487
1,92.0,44130,109948
1,93.0,42954,111922
1,94.0,41721,113355
1,95.0,40951,114299
1,96.0,40088,114791
1,97.0,39463,114830
1,98.0,39017,114760
1,99.0,38548,114350
1,100.0,38068,113320
1,101.0,37748,112274
1,102.0,37550,110761
1,103.0,37613,109221
1,104.0,37422,107921
1,105.0,37609,105938
1,106.0,38011,103872
1,107.0,38279,101740
1,108.0,38670,99565
1,109.0,39200,97642
1,110.0,39985,95776
1,111.0,40566,93635
1,112.0,41350,91989
1,113.0,42338,90525
1,114.0,43470,88573
1,115.0,44690,86868
1,116.0,45983,85500
1,117.0,47423,84347
1,118.0,49049,83057
1,119.0,50936,81829
1,120.0,52695,80798
1,121.0,54720,79920
1,122.0,56745,79241
1,123.0,58579,78770
1,124.0,60557,78544
1,125.0,62838,78677
1,126.0,64779,79009
1,127.0,66742,79461
1,128.0,68451,80312
1,129.0,69730,81214
1,130.0,71005,82225
1,131.0,71475,83497
1,132.0,71886,84823
1,133.0,71984,86136
1,134.0,71850,87851
1,135.0,71016,89857
1,136.0,69934,91791
1,137.0,68686,93830
1,138.0,67254,96176
1,139.0,65500,98212
1,140.0,63380,100379
1,141.0,61241,102241
1,142.0,58919,104201
1,143.0,56817,105818
1,144.0,54704,107457
1,145.0,52421,108839
1,146.0,50471,110282
1,147.0,48578,111634
1,148.0,46799,112204
1,149.0,45216,112846
1,150.0,43896,113157
1,151.0,42495,113012
1,152.0,41396,112970
1,153.0,40313,112329
1,154.0,39602,111568
1,155.0,39103,110702
1,156.0,38732,109403
1,157.0,38523,107901
1,158.0,38393,105877
1,159.0,38441,104019
1,160.0,38632,102100
1,161.0,38882,100028
1,162.0,39365,98193
1,163.0,39905,96052
1,164.0,40632,94092
1,165.0,41605,91953
1,166.0,42330,89919
1,167.0,43320,88222
1,168.0,44648,86528
1,169.0,46113,84885
1,170.0,47836,83490
1,171.0,49425,82540
1,172.0,51265,81656
1,173.0,53122,80689
1,174.0,54856,79594
1,175.0,56988,79159
1,176.0,58981,78873
1,177.0,61013,78815
1,178.0,63033,78976
1,179.0,64948,79170
1,180.0,66711,79744
1,181.0,68234,80702
1,182.0,69577,81820
1,183.0,70419,82933
1,184.0,71218,84257
1,185.0,71612,85875
1,186.0,71356,87301
1,187.0,70895,88985
1,188.0,69933,90906
1,189.0,68868,92698
1,190.0,67398,94697
1,191.0,65752,96789
1,192.0,64199,98564
1,193.0,62109,100611
1,194.0,59899,102518
1,195.0,57839,104348
1,196.0,55684,106228
1,197.0,53398,107659
1,198.0,51332,109151
1,199.0,49520,110192
1,200.0,47856,111072
