"run","tick","Wolf Count","Sheep Count"
1,1.0,687,419
1,2.0,803,443
1,3.0,942,470
1,4.0,1078,477
1,5.0,1273,484
1,6.0,1515,492
1,7.0,1777,476
1,8.0,2118,405
1,9.0,2498,351
1,10.0,2970,301
1,11.0,3552,261
1,12.0,4223,231
1,13.0,5026,206
1,14.0,6052,175
1,15.0,7238,166
1,16.0,8683,159
1,17.0,10411,146
1,18.0,12464,139
1,19.0,14911,133
1,20.0,17922,119
1,21.0,21408,117
1,22.0,25526,116
1,23.0,30298,109
1,24.0,35848,113
1,25.0,42153,122
1,26.0,49190,136
1,27.0,56537,141
1,28.0,63866,151
1,29.0,70658,170
1,30.0,75906,188
1,31.0,78906,199
1,32.0,79272,223
1,33.0,77116,246
1,34.0,72992,265
1,35.0,67142,289
1,36.0,60485,322
1,37.0,53461,343
1,38.0,47133,370
1,39.0,41659,396
1,40.0,37095,433
1,41.0,33880,472
1,42.0,31804,516
1,43.0,30544,562
1,44.0,30055,605
1,45.0,30061,652
1,46.0,30556,710
1,47.0,31424,766
1,48.0,32732,840
1,49.0,34663,881
1,50.0,36762,960
1,51.0,38921,1034
1,52.0,40788,1106
1,53.0,42704,1194
1,54.0,44094,1308
1,55.0,45281,1405
1,56.0,45560,1502
1,57.0,44903,1637
1,58.0,43653,1761
1,59.0,41886,1904
1,60.0,39632,2067
1,61.0,36953,2214
1,62.0,34164,2361
1,63.0,31678,2546
1,64.0,29142,2749
1,65.0,27254,2952
1,66.0,25684,3185
1,67.0,24373,3413
1,68.0,23634,3658
1,69.0,23292,3896
1,70.0,23176,4152
1,71.0,23645,4424
1,72.0,24172,4649
1,73.0,25072,4931
1,74.0,26370,5223
1,75.0,27696,5574
1,76.0,29315,5866
1,77.0,30918,6239
1,78.0,32495,6638
1,79.0,34073,7024
1,80.0,35209,7466
1,81.0,36247,7988
1,82.0,36837,8507
1,83.0,36754,9086
1,84.0,36205,9681
1,85.0,35009,10376
1,86.0,33356,11051
1,87.0,31515,11917
1,88.0,29536,12761
1,89.0,27196,13678
1,90.0,24800,14580
1,91.0,22679,15425
1,92.0,20717,16437
1,93.0,18984,17442
1,94.0,17350,18416
1,95.0,15994,19410
1,96.0,14766,20258
1,97.0,13950,21133
1,98.0,13289,21910
1,99.0,12894,22573
1,100.0,12594,23166
1,101.0,12386,23718
1,102.0,12285,24264
1,103.0,12209,24635
1,104.0,12068,24908
1,105.0,11998,25331
1,106.0,11970,25599
1,107.0,12003,25835
1,108.0,12092,26090
1,109.0,12126,26216
1,110.0,12123,26241
1,111.0,12147,26273
1,112.0,12192,26295
1,113.0,12187,26354
1,114.0,12144,26269
1,115.0,12110,26238
1,116.0,12068,26238
1,117.0,11938,26279
1,118.0,11793,26278
1,119.0,11684,26222
1,120.0,11458,26299
1,121.0,11381,26478
1,122.0,11327,26175
1,123.0,11244,26059
1,124.0,11101,26048
1,125.0,10914,25847
1,126.0,10920,25548
1,127.0,10953,25235
1,128.0,10958,24990
1,129.0,10888,24764
1,130.0,11040,24613
1,131.0,11063,24344
1,132.0,11171,23958
1,133.0,11158,23772
1,134.0,11275,23475
1,135.0,11414,22983
1,136.0,11593,22691
1,137.0,11875,22437
1,138.0,12061,22207
1,139.0,12358,22007
1,140.0,12696,21782
1,141.0,12887,21553
1,142.0,13171,21507
1,143.0,13458,21381
1,144.0,13666,21384
1,145.0,14121,21254
1,146.0,14453,21219
1,147.0,14831,21202
1,148.0,15127,21313
1,149.0,15471,21411
1,150.0,15806,21546
1,151.0,15998,21720
1,152.0,16178,21986
1,153.0,16278,22224
1,154.0,16481,22485
1,155.0,16366,22726
1,156.0,16212,23042
1,157.0,16122,23307
1,158.0,15939,23627
1,159.0,15780,24099
1,160.0,15481,24531
1,161.0,15115,24890
1,162.0,14765,25327
1,163.0,14411,25733
1,164.0,14032,26055
1,165.0,13614,26397
1,166.0,13100,26660
1,167.0,12689,26883
1,168.0,12397,27015
1,169.0,12090,27193
1,170.0,11763,27404
1,171.0,11488,27433
1,172.0,11174,27488
1,173.0,10810,27362
1,174.0,10597,27069
1,175.0,10301,27045
1,176.0,10218,26915
1,177.0,10176,26647
1,178.0,10229,26216
1,179.0,10112,25819
1,180.0,10121,25514
1,181.0,10144,25174
1,182.0,10171,24719
1,183.0,10234,24374
1,184.0,10369,23900
1,185.0,10542,23493
1,186.0,10800,23068
1,187.0,10955,22750
1,188.0,11134,22400
1,189.0,11501,22015
1,190.0,11779,21672
1,191.0,12164,21440
1,192.0,12481,21088
1,193.0,12928,20880
1,194.0,13370,20748
1,195.0,13749,20560
1,196.0,14150,20481
1,197.0,14550,20370
1,198.0,14990,20363
1,199.0,15374,20502
1,200.0,15849,20665
