"run","tick","Wolf Count","Sheep Count"
1,1.0,20397,13638
1,2.0,21758,14514
1,3.0,23294,15359
1,4.0,24709,16152
1,5.0,25932,17044
1,6.0,27100,17840
1,7.0,27939,18747
1,8.0,28439,19711
1,9.0,28475,20633
1,10.0,28515,21646
1,11.0,28285,22759
1,12.0,27676,23871
1,13.0,26805,25116
1,14.0,25923,26413
1,15.0,24651,27775
1,16.0,23413,29309
1,17.0,21961,30959
1,18.0,20455,32459
1,19.0,18964,33983
1,20.0,17407,35547
1,21.0,15906,37028
1,22.0,14504,38453
1,23.0,13064,39711
1,24.0,11698,41010
1,25.0,10407,41948
1,26.0,9151,42755
1,27.0,8009,43248
1,28.0,7120,43366
1,29.0,6391,43519
1,30.0,5609,43060
1,31.0,5011,42507
1,32.0,4489,41412
1,33.0,4103,40166
1,34.0,3857,38732
1,35.0,3617,36908
1,36.0,3454,35159
1,37.0,3345,33248
1,38.0,3339,31090
1,39.0,3354,28822
1,40.0,3359,26750
1,41.0,3407,24745
1,42.0,3550,22748
1,43.0,3751,21022
1,44.0,3986,19220
1,45.0,4256,17572
1,46.0,4569,16126
1,47.0,5008,14549
1,48.0,5566,13345
1,49.0,6210,12210
1,50.0,6931,11208
1,51.0,7773,10406
1,52.0,8823,9677
1,53.0,9915,9085
1,54.0,11239,8600
1,55.0,12777,8164
1,56.0,14580,7822
1,57.0,16596,7628
1,58.0,18899,7513
1,59.0,21331,7485
1,60.0,24189,7571
1,61.0,27106,7637
1,62.0,30095,7843
1,63.0,33191,8066
1,64.0,35903,8368
1,65.0,38286,8773
1,66.0,40084,9197
1,67.0,41116,9801
1,68.0,41051,10446
1,69.0,40316,11137
1,70.0,38351,11856
1,71.0,35552,12774
1,72.0,32504,13691
1,73.0,29467,14638
1,74.0,26446,15627
1,75.0,23645,16649
1,76.0,20991,17695
1,77.0,18904,18803
1,78.0,17052,19807
1,79.0,15920,20854
1,80.0,14776,21799
1,81.0,13807,22727
1,82.0,13157,23749
1,83.0,12631,24522
1,84.0,12067,25316
1,85.0,11787,25884
1,86.0,11649,26473
1,87.0,11513,26965
1,88.0,11317,27338
1,89.0,11255,27573
1,90.0,11147,27580
1,91.0,11020,27704
1,92.0,11008,27573
1,93.0,10974,27689
1,94.0,10888,27656
1,95.0,10800,27628
1,96.0,10791,27496
1,97.0,10786,27240
1,98.0,10782,26966
1,99.0,10741,26665
1,100.0,10803,26509
1,101.0,10859,26273
1,102.0,10783,25943
1,103.0,10972,25690
1,104.0,10952,25221
1,105.0,11042,24879
1,106.0,11112,24495
1,107.0,11283,24164
1,108.0,11355,23924
1,109.0,11506,23696
1,110.0,11682,23388
1,111.0,11777,23200
1,112.0,11923,22900
1,113.0,12117,22842
1,114.0,12311,22639
1,115.0,12517,22297
1,116.0,12824,22078
1,117.0,13069,21838
1,118.0,13348,21773
1,119.0,13542,21630
1,120.0,13812,21620
1,121.0,14134,21708
1,122.0,14348,21811
1,123.0,14590,21901
1,124.0,14758,22050
1,125.0,14931,22056
1,126.0,15024,22211
1,127.0,15197,22327
1,128.0,15273,22447
1,129.0,15337,22623
1,130.0,15472,22728
1,131.0,15388,22948
1,132.0,15372,23140
1,133.0,15187,23285
1,134.0,15087,23598
1,135.0,15040,23885
1,136.0,14768,24139
1,137.0,14704,24412
1,138.0,14333,24796
1,139.0,14218,25076
1,140.0,13896,25307
1,141.0,13610,25572
1,142.0,13447,25702
1,143.0,13282,25847
1,144.0,12988,25967
1,145.0,12761,26165
1,146.0,12512,26410
1,147.0,12134,26458
1,148.0,11826,26442
1,149.0,11640,26419
1,150.0,11437,26404
1,151.0,11388,26264
1,152.0,11243,26289
1,153.0,11156,26197
1,154.0,11099,25923
1,155.0,11025,25833
1,156.0,11003,25558
1,157.0,11051,25281
1,158.0,10988,25007
1,159.0,11064,24682
1,160.0,11189,24467
1,161.0,11185,24050
1,162.0,11338,23745
1,163.0,11489,23438
1,164.0,11744,23170
1,165.0,11884,22930
1,166.0,12157,22697
1,167.0,12375,22557
1,168.0,12638,22344
1,169.0,12915,22250
1,170.0,13071,22125
1,171.0,13315,22178
1,172.0,13565,22241
1,173.0,13933,22076
1,174.0,14116,22040
1,175.0,14282,22060
1,176.0,14463,21965
1,177.0,14695,22117
1,178.0,14874,22193
1,179.0,15124,22263
1,180.0,15346,22451
1,181.0,15380,22579
1,182.0,15506,22697
1,183.0,15456,22824
1,184.0,15359,22958
1,185.0,15421,23122
1,186.0,15331,23444
1,187.0,15247,23763
1,188.0,15020,24142
1,189.0,14817,24487
1,190.0,14419,24788
1,191.0,14261,25013
1,192.0,13897,25250
1,193.0,13654,25445
1,194.0,13433,25693
1,195.0,13182,25750
1,196.0,12873,25832
1,197.0,12656,26146
1,198.0,12458,26209
1,199.0,12181,26383
1,200.0,11996,26442
