"run","tick","Wolf Count","Sheep Count"
1,1.0,1678,2565
1,2.0,1829,2711
1,3.0,2029,2860
1,4.0,2250,2969
1,5.0,2468,3055
1,6.0,2705,3035
1,7.0,3016,3023
1,8.0,3295,2942
1,9.0,3632,2895
1,10.0,3995,2888
1,11.0,4357,2890
1,12.0,4769,2875
1,13.0,5256,2886
1,14.0,5733,2890
1,15.0,6219,2922
1,16.0,6790,2973
1,17.0,7291,3077
1,18.0,7737,3216
1,19.0,8311,3355
1,20.0,8775,3529
1,21.0,9184,3733
1,22.0,9540,3955
1,23.0,9764,4275
1,24.0,9726,4559
1,25.0,9515,4856
1,26.0,9044,5212
1,27.0,8359,5602
1,28.0,7551,6039
1,29.0,6690,6450
1,30.0,5844,6863
1,31.0,4987,7281
1,32.0,4302,7639
1,33.0,3620,8063
1,34.0,3036,8439
1,35.0,2570,8789
1,36.0,2265,9068
1,37.0,2000,9346
1,38.0,1763,9537
1,39.0,1583,9727
1,40.0,1379,9805
1,41.0,1248,9759
1,42.0,1153,9628
1,43.0,1086,9448
1,44.0,1011,9079
1,45.0,976,8774
1,46.0,942,8418
1,47.0,916,8025
1,48.0,895,7577
1,49.0,881,7174
1,50.0,889,6777
1,51.0,901,6407
1,52.0,945,6020
1,53.0,982,5562
1,54.0,1025,5107
1,55.0,1122,4733
1,56.0,1225,4380
1,57.0,1299,4026
1,58.0,1405,3691
1,59.0,1528,3509
1,60.0,1683,3306
1,61.0,1871,3016
1,62.0,2083,2804
1,63.0,2320,2630
1,64.0,2562,2540
1,65.0,2821,2365
1,66.0,3184,2302
1,67.0,3590,2226
1,68.0,4049,2155
1,69.0,4601,2132
1,70.0,5135,2134
1,71.0,5753,2148
1,72.0,6419,2156
1,73.0,7118,2201
1,74.0,7726,2282
1,75.0,8352,2362
1,76.0,8923,2462
1,77.0,9271,2562
1,78.0,9445,2688
1,79.0,9501,2833
1,80.0,9381,3040
1,81.0,9116,3241
1,82.0,8556,3497
1,83.0,7976,3718
1,84.0,7414,3948
1,85.0,6698,4221
1,86.0,5983,4506
1,87.0,5338,4807
1,88.0,4765,5129
1,89.0,4236,5427
1,90.0,3868,5671
1,91.0,3535,5887
1,92.0,3277,6174
1,93.0,3031,6337
1,94.0,2820,6568
1,95.0,2673,6768
1,96.0,2575,6969
1,97.0,2473,7082
1,98.0,2389,7174
1,99.0,2365,7272
1,100.0,2275,7309
1,101.0,2266,7227
1,102.0,2250,7175
1,103.0,2221,7035
1,104.0,2247,6996
1,105.0,2219,6898
1,106.0,2241,6749
1,107.0,2286,6581
1,108.0,2362,6422
1,109.0,2389,6275
1,110.0,2500,6132
1,111.0,2543,5985
1,112.0,2587,5796
1,113.0,2603,5732
1,114.0,2693,5678
1,115.0,2728,5608
1,116.0,2814,5497
1,117.0,2890,5394
1,118.0,2966,5330
1,119.0,3109,5209
1,120.0,3209,5140
1,121.0,3323,5125
1,122.0,3450,5041
1,123.0,3602,5039
1,124.0,3676,5029
1,125.0,3809,5024
1,126.0,3875,5048
1,127.0,3955,5080
1,128.0,4035,5089
1,129.0,4123,5109
1,130.0,4206,5173
1,131.0,4223,5276
1,132.0,4210,5398
1,133.0,4172,5427
1,134.0,4194,5543
1,135.0,4133,5678
1,136.0,4137,5773
1,137.0,4109,5891
1,138.0,4088,6010
1,139.0,3972,6108
1,140.0,3804,6209
1,141.0,3762,6294
1,142.0,3705,6323
1,143.0,3592,6427
1,144.0,3505,6480
1,145.0,3390,6523
1,146.0,3257,6596
1,147.0,3199,6670
1,148.0,3085,6751
1,149.0,3012,6800
1,150.0,2945,6823
1,151.0,2902,6766
1,152.0,2834,6750
1,153.0,2791,6780
1,154.0,2718,6751
1,155.0,2669,6680
1,156.0,2657,6657
1,157.0,2634,6564
1,158.0,2601,6541
1,159.0,2627,6406
1,160.0,2652,6322
1,161.0,2668,6204
1,162.0,2699,6151
1,163.0,2731,6061
1,164.0,2789,6017
1,165.0,2816,5929
1,166.0,2838,5854
1,167.0,2850,5757
1,168.0,2892,5689
1,169.0,2942,5603
1,170.0,2987,5573
1,171.0,3088,5436
1,172.0,3199,5398
1,173.0,3275,5357
1,174.0,3397,5309
1,175.0,3462,5317
1,176.0,3508,5301
1,177.0,3568,5310
1,178.0,3676,5277
1,179.0,3773,5274
1,180.0,3930,5353
1,181.0,3978,5441
1,182.0,3990,5485
1,183.0,4012,5502
1,184.0,4009,5482
1,185.0,3977,5548
1,186.0,3927,5641
1,187.0,3886,5779
1,188.0,3851,5836
1,189.0,3825,5985
1,190.0,3818,6056
1,191.0,3747,6194
1,192.0,3614,6280
1,193.0,3574,6357
1,194.0,3518,6362
1,195.0,3447,6434
1,196.0,3349,6522
1,197.0,3276,6583
1,198.0,3172,6598
1,199.0,3127,6672
1,200.0,3090,6735
