"run","tick","Wolf Count","Sheep Count"
1,1.0,68088,55008
1,2.0,58736,59273
1,3.0,49289,64040
1,4.0,38829,69392
1,5.0,28703,74950
1,6.0,20206,80884
1,7.0,13602,86848
1,8.0,8826,92672
1,9.0,5624,97919
1,10.0,3397,102491
1,11.0,2096,105893
1,12.0,1341,108081
1,13.0,814,108572
1,14.0,511,107267
1,15.0,327,104342
1,16.0,218,100202
1,17.0,130,94434
1,18.0,89,88029
1,19.0,69,80662
1,20.0,49,73139
1,21.0,36,65768
1,22.0,33,58047
1,23.0,23,50837
1,24.0,23,44373
1,25.0,23,38509
1,26.0,27,33404
1,27.0,24,28668
1,28.0,26,24241
1,29.0,28,20511
1,30.0,30,17256
1,31.0,32,14604
1,32.0,34,12229
1,33.0,41,10231
1,34.0,46,8467
1,35.0,56,7068
1,36.0,68,5883
1,37.0,83,4877
1,38.0,98,4024
1,39.0,121,3331
1,40.0,150,2827
1,41.0,189,2343
1,42.0,221,1908
1,43.0,250,1571
1,44.0,307,1299
1,45.0,372,1082
1,46.0,442,929
1,47.0,533,744
1,48.0,635,564
1,49.0,766,464
1,50.0,918,381
1,51.0,1097,319
1,52.0,1310,264
1,53.0,1574,206
1,54.0,1897,175
1,55.0,2272,142
1,56.0,2720,125
1,57.0,3306,120
1,58.0,3961,102
1,59.0,4722,86
1,60.0,5703,77
1,61.0,6839,68
1,62.0,8160,64
1,63.0,9725,52
1,64.0,11644,55
1,65.0,13926,52
1,66.0,16695,49
1,67.0,19967,51
1,68.0,23864,45
1,69.0,28267,44
1,70.0,33467,41
1,71.0,39243,42
1,72.0,45472,42
1,73.0,51855,48
1,74.0,58091,52
1,75.0,63397,56
1,76.0,67143,56
1,77.0,68695,57
1,78.0,68003,60
1,79.0,64859,68
1,80.0,59956,74
1,81.0,54346,82
1,82.0,48275,94
1,83.0,42841,101
1,84.0,38107,107
1,85.0,34494,113
1,86.0,32039,121
1,87.0,30259,129
1,88.0,29174,146
1,89.0,28849,151
1,90.0,29092,164
1,91.0,29751,178
1,92.0,31204,182
1,93.0,33190,195
1,94.0,35492,212
1,95.0,38267,227
1,96.0,41204,246
1,97.0,44130,275
1,98.0,46872,293
1,99.0,48903,312
1,100.0,50317,345
1,101.0,50688,376
1,102.0,49817,404
1,103.0,47978,445
1,104.0,45102,490
1,105.0,41766,526
1,106.0,38160,563
1,107.0,34792,594
1,108.0,31508,631
1,109.0,28840,688
1,110.0,26612,748
1,111.0,24827,787
1,112.0,23749,827
1,113.0,22979,886
1,114.0,22809,936
1,115.0,23044,997
1,116.0,23975,1059
1,117.0,25320,1141
1,118.0,26958,1216
1,119.0,29017,1279
1,120.0,31505,1344
1,121.0,34490,1442
1,122.0,37281,1510
1,123.0,40093,1607
1,124.0,42635,1711
1,125.0,45030,1849
1,126.0,46823,2001
1,127.0,47901,2135
1,128.0,48169,2308
1,129.0,47502,2498
1,130.0,45536,2706
1,131.0,42752,2934
1,132.0,39578,3126
1,133.0,35895,3349
1,134.0,32535,3601
1,135.0,29325,3885
1,136.0,26598,4162
1,137.0,24197,4494
1,138.0,22421,4837
1,139.0,21119,5171
1,140.0,20373,5490
1,141.0,20242,5844
1,142.0,20393,6170
1,143.0,20901,6506
1,144.0,21624,6834
1,145.0,22550,7189
1,146.0,23881,7549
1,147.0,25314,7954
1,148.0,26901,8315
1,149.0,28656,8778
1,150.0,30296,9294
1,151.0,31611,9827
1,152.0,32731,10415
1,153.0,33734,11015
1,154.0,34158,11678
1,155.0,34113,12468
1,156.0,33492,13239
1,157.0,32499,14025
1,158.0,30746,15006
1,159.0,28782,16018
1,160.0,26340,17190
1,161.0,23844,18365
1,162.0,21440,19482
1,163.0,19182,20662
1,164.0,17296,21719
1,165.0,15553,22867
1,166.0,14040,23892
1,167.0,12807,24932
1,168.0,11616,25965
1,169.0,10695,26805
1,170.0,10074,27278
1,171.0,9611,27866
1,172.0,9211,28269
1,173.0,8900,28475
1,174.0,8617,28614
1,175.0,8345,28534
1,176.0,8324,28384
1,177.0,8225,28092
1,178.0,8242,27919
1,179.0,8314,27309
1,180.0,8380,26661
1,181.0,8435,26213
1,182.0,8578,25450
1,183.0,8749,24532
1,184.0,9003,23809
1,185.0,9281,23221
1,186.0,9575,22735
1,187.0,9941,22265
1,188.0,10375,21695
1,189.0,10850,21219
1,190.0,11350,20821
1,191.0,11837,20527
1,192.0,12354,20159
1,193.0,12776,19833
1,194.0,13326,19586
1,195.0,13913,19397
1,196.0,14519,19121
1,197.0,14977,19061
1,198.0,15607,19092
1,199.0,16177,19045
1,200.0,16754,19067
