"run","tick","Wolf Count","Sheep Count"
1,1.0,2716,1725
1,2.0,3139,1811
1,3.0,3631,1907
1,4.0,4203,1941
1,5.0,4870,1996
1,6.0,5651,1965
1,7.0,6547,1888
1,8.0,7625,1801
1,9.0,8967,1709
1,10.0,10476,1603
1,11.0,12386,1539
1,12.0,14548,1471
1,13.0,17145,1388
1,14.0,20170,1334
1,15.0,23728,1292
1,16.0,27794,1268
1,17.0,32455,1308
1,18.0,37570,1338
1,19.0,43439,1394
1,20.0,49670,1469
1,21.0,56217,1546
1,22.0,62482,1646
1,23.0,67942,1776
1,24.0,72262,1936
1,25.0,74422,2110
1,26.0,74012,2311
1,27.0,71058,2551
1,28.0,66132,2785
1,29.0,59773,3035
1,30.0,52596,3339
1,31.0,45904,3624
1,32.0,39389,3972
1,33.0,34159,4307
1,34.0,29750,4689
1,35.0,26266,5049
1,36.0,23962,5433
1,37.0,22144,5880
1,38.0,20987,6331
1,39.0,20386,6827
1,40.0,20282,7337
1,41.0,20512,7846
1,42.0,21239,8303
1,43.0,22102,8793
1,44.0,23477,9319
1,45.0,24913,9823
1,46.0,26543,10381
1,47.0,28071,10930
1,48.0,29371,11532
1,49.0,30629,12210
1,50.0,31629,12981
1,51.0,32080,13799
1,52.0,32205,14654
1,53.0,31732,15534
1,54.0,30516,16522
1,55.0,28998,17590
1,56.0,27127,18710
1,57.0,25059,19946
1,58.0,22737,21228
1,59.0,20346,22556
1,60.0,18356,23792
1,61.0,16087,25154
1,62.0,14198,26428
1,63.0,12714,27505
1,64.0,11302,28497
1,65.0,10319,29588
1,66.0,9380,30256
1,67.0,8516,30624
1,68.0,7938,30986
1,69.0,7586,31143
1,70.0,7228,31245
1,71.0,7021,31031
1,72.0,6749,30617
1,73.0,6628,29970
1,74.0,6579,29341
1,75.0,6532,28549
1,76.0,6552,27723
1,77.0,6589,26942
1,78.0,6641,25857
1,79.0,6824,24735
1,80.0,7040,23800
1,81.0,7251,22848
1,82.0,7495,21943
1,83.0,7813,20960
1,84.0,8248,20088
1,85.0,8730,19157
1,86.0,9294,18364
1,87.0,9951,17717
1,88.0,10625,17090
1,89.0,11383,16542
1,90.0,12228,16158
1,91.0,13193,15778
1,92.0,14215,15488
1,93.0,15292,15284
1,94.0,16471,15105
1,95.0,17712,15011
1,96.0,18916,15078
1,97.0,20035,15242
1,98.0,21062,15647
1,99.0,21956,15997
1,100.0,22928,16364
1,101.0,23668,16810
1,102.0,24281,17461
1,103.0,24351,18022
1,104.0,24319,18601
1,105.0,24110,19377
1,106.0,23565,20150
1,107.0,22651,20866
1,108.0,21749,21779
1,109.0,20724,22691
1,110.0,19371,23634
1,111.0,18117,24615
1,112.0,16931,25526
1,113.0,15650,26403
1,114.0,14566,27223
1,115.0,13423,28008
1,116.0,12472,28804
1,117.0,11554,29319
1,118.0,10866,29859
1,119.0,10354,30230
1,120.0,9759,30367
1,121.0,9329,30526
1,122.0,8963,30508
1,123.0,8666,30368
1,124.0,8386,30292
1,125.0,8193,29932
1,126.0,8026,29393
1,127.0,7979,28728
1,128.0,7881,28211
1,129.0,7850,27360
1,130.0,7850,26466
1,131.0,7870,25574
1,132.0,8012,24664
1,133.0,8161,23793
1,134.0,8403,22996
1,135.0,8659,22235
1,136.0,8942,21661
1,137.0,9291,20999
1,138.0,9776,20166
1,139.0,10250,19669
1,140.0,10917,19064
1,141.0,11520,18469
1,142.0,12191,18055
1,143.0,12907,17641
1,144.0,13641,17227
1,145.0,14356,17034
1,146.0,15326,16890
1,147.0,16134,16800
1,148.0,17027,16761
1,149.0,17848,16851
1,150.0,18765,17020
1,151.0,19539,17173
1,152.0,20191,17481
1,153.0,20734,17896
1,154.0,21166,18386
1,155.0,21334,18895
1,156.0,21292,19420
1,157.0,21174,20066
1,158.0,20907,20731
1,159.0,20505,21503
1,160.0,19885,22260
1,161.0,19251,23002
1,162.0,18445,23708
1,163.0,17485,24463
1,164.0,16436,25282
1,165.0,15414,26016
1,166.0,14487,26741
1,167.0,13609,27424
1,168.0,13002,28166
1,169.0,12295,28735
1,170.0,11538,29076
1,171.0,10892,29267
1,172.0,10452,29421
1,173.0,9945,29500
1,174.0,9501,29391
1,175.0,9156,29363
1,176.0,8959,29109
1,177.0,8750,28775
1,178.0,8634,28375
1,179.0,8550,27947
1,180.0,8454,27422
1,181.0,8508,26992
1,182.0,8560,26460
1,183.0,8506,25628
1,184.0,8566,24831
1,185.0,8724,24017
1,186.0,8947,23392
1,187.0,9370,22775
1,188.0,9733,22219
1,189.0,10050,21765
1,190.0,10411,21312
1,191.0,10883,20709
1,192.0,11379,20148
1,193.0,11927,19676
1,194.0,12437,19293
1,195.0,12971,18843
1,196.0,13598,18549
1,197.0,14208,18332
1,198.0,14867,18191
1,199.0,15602,18165
1,200.0,16360,18256
