"run","tick","Wolf Count","Sheep Count"
1,1.0,21200,13616
1,2.0,23613,14407
1,3.0,26370,14992
1,4.0,29410,15555
1,5.0,32803,16110
1,6.0,36587,16458
1,7.0,40598,16847
1,8.0,44847,17236
1,9.0,49664,17578
1,10.0,54373,17955
1,11.0,59332,18552
1,12.0,64200,19350
1,13.0,69097,20203
1,14.0,73882,21348
1,15.0,77804,22483
1,16.0,81289,23793
1,17.0,84144,25344
1,18.0,85852,27038
1,19.0,86531,28920
1,20.0,85557,31023
1,21.0,83654,33435
1,22.0,80396,36026
1,23.0,76022,38700
1,24.0,69977,41745
1,25.0,63149,44797
1,26.0,55852,47996
1,27.0,48872,51404
1,28.0,41879,54929
1,29.0,35483,58480
1,30.0,29974,62067
1,31.0,25463,65559
1,32.0,21498,68812
1,33.0,18514,71881
1,34.0,16055,74538
1,35.0,13926,76365
1,36.0,12195,77720
1,37.0,10884,78350
1,38.0,9880,78273
1,39.0,9027,77489
1,40.0,8368,76304
1,41.0,7774,74362
1,42.0,7334,71939
1,43.0,7085,69134
1,44.0,6878,66043
1,45.0,6747,62580
1,46.0,6678,58761
1,47.0,6817,55181
1,48.0,6947,51478
1,49.0,7163,47918
1,50.0,7451,44300
1,51.0,7841,40839
1,52.0,8328,37665
1,53.0,8953,34717
1,54.0,9787,31898
1,55.0,10690,29420
1,56.0,11650,27254
1,57.0,12834,25406
1,58.0,14303,23682
1,59.0,15958,22014
1,60.0,17967,20649
1,61.0,20234,19575
1,62.0,22987,18752
1,63.0,25924,18057
1,64.0,29311,17363
1,65.0,33100,16907
1,66.0,37302,16625
1,67.0,41863,16526
1,68.0,46834,16670
1,69.0,52090,16913
1,70.0,57542,17259
1,71.0,62708,17769
1,72.0,67874,18516
1,73.0,72018,19454
1,74.0,75117,20436
1,75.0,76617,21603
1,76.0,76448,22909
1,77.0,74889,24439
1,78.0,71710,26050
1,79.0,67255,27748
1,80.0,61974,29607
1,81.0,56396,31515
1,82.0,50789,33653
1,83.0,45708,35799
1,84.0,40987,37967
1,85.0,36596,40362
1,86.0,33284,42518
1,87.0,30680,44551
1,88.0,28463,46628
1,89.0,26573,48507
1,90.0,25055,50122
1,91.0,24079,51744
1,92.0,23128,53176
1,93.0,22353,54326
1,94.0,21601,55245
1,95.0,21201,55881
1,96.0,20763,56354
1,97.0,20373,56714
1,98.0,19995,56968
1,99.0,19751,56855
1,100.0,19580,56677
1,101.0,19511,56384
1,102.0,19323,55941
1,103.0,19214,55591
1,104.0,19171,54922
1,105.0,19104,53920
1,106.0,19074,52938
1,107.0,19181,52115
1,108.0,19275,51312
1,109.0,19366,50200
1,110.0,19782,49188
1,111.0,19986,48293
1,112.0,20316,47370
1,113.0,20764,46423
1,114.0,21090,45476
1,115.0,21648,44622
1,116.0,22027,44005
1,117.0,22636,43132
1,118.0,23368,42373
1,119.0,24036,41812
1,120.0,24987,41324
1,121.0,25790,40944
1,122.0,26871,40675
1,123.0,27822,40498
1,124.0,28644,40416
1,125.0,29582,40334
1,126.0,30542,40336
1,127.0,31447,40420
1,128.0,32106,40549
1,129.0,32798,40975
1,130.0,33407,41566
1,131.0,33849,41928
1,132.0,34121,42578
1,133.0,34210,43257
1,134.0,34145,44051
1,135.0,33951,44686
1,136.0,33567,45248
1,137.0,33289,46030
1,138.0,32726,46726
1,139.0,32175,47741
1,140.0,31427,48713
1,141.0,30410,49634
1,142.0,29445,50722
1,143.0,28481,51555
1,144.0,27568,52244
1,145.0,26608,52967
1,146.0,25540,53705
1,147.0,24782,54285
1,148.0,24045,54558
1,149.0,23301,54770
1,150.0,22716,54983
1,151.0,22236,54971
1,152.0,21704,54860
1,153.0,21373,54570
1,154.0,21057,54208
1,155.0,20877,53641
1,156.0,20709,53179
1,157.0,20537,52563
1,158.0,20455,51913
1,159.0,20431,51370
1,160.0,20432,50583
1,161.0,20442,49703
1,162.0,20593,48795
1,163.0,20876,48102
1,164.0,21155,47273
1,165.0,21542,46502
1,166.0,21785,45652
1,167.0,22266,44964
1,168.0,22776,44504
1,169.0,23466,43877
1,170.0,24153,43118
1,171.0,24997,42646
1,172.0,25733,42227
1,173.0,26585,41843
1,174.0,27412,41584
1,175.0,28140,41313
1,176.0,28987,41092
1,177.0,29640,40949
1,178.0,30398,41067
1,179.0,31139,41234
1,180.0,31625,41581
1,181.0,32210,41676
1,182.0,32717,42074
1,183.0,33115,42437
1,184.0,33483,43023
1,185.0,33573,43739
1,186.0,33462,44241
1,187.0,33268,44976
1,188.0,33043,45668
1,189.0,32653,46543
1,190.0,32144,47468
1,191.0,31513,48256
1,192.0,30797,49137
1,193.0,30084,49887
1,194.0,29165,50669
1,195.0,28334,51469
1,196.0,27584,52172
1,197.0,26857,52832
1,198.0,26076,53318
1,199.0,25329,53829
1,200.0,24488,54282
