"run","tick","Wolf Count","Sheep Count"
1,1.0,38292,27387
1,2.0,37940,29273
1,3.0,37222,31228
1,4.0,35676,33333
1,5.0,33197,35660
1,6.0,30349,38084
1,7.0,27187,40626
1,8.0,23776,43309
1,9.0,20461,45891
1,10.0,17190,48590
1,11.0,14340,51007
1,12.0,11781,53497
1,13.0,9594,55625
1,14.0,7821,57498
1,15.0,6330,58754
1,16.0,5257,59561
1,17.0,4376,59935
1,18.0,3622,59730
1,19.0,3015,58861
1,20.0,2545,57234
1,21.0,2174,54958
1,22.0,1869,52390
1,23.0,1639,49459
1,24.0,1445,45904
1,25.0,1328,42266
1,26.0,1259,38797
1,27.0,1186,35295
1,28.0,1146,31789
1,29.0,1129,28323
1,30.0,1152,25136
1,31.0,1207,22317
1,32.0,1237,19617
1,33.0,1283,17225
1,34.0,1402,15022
1,35.0,1578,12994
1,36.0,1765,11317
1,37.0,1954,9773
1,38.0,2187,8385
1,39.0,2499,7339
1,40.0,2882,6320
1,41.0,3340,5596
1,42.0,3944,4881
1,43.0,4608,4180
1,44.0,5413,3689
1,45.0,6369,3321
1,46.0,7477,3004
1,47.0,8828,2753
1,48.0,10400,2548
1,49.0,12301,2395
1,50.0,14451,2267
1,51.0,17062,2151
1,52.0,20140,2115
1,53.0,23728,2072
1,54.0,27886,2090
1,55.0,32346,2166
1,56.0,37298,2209
1,57.0,42483,2311
1,58.0,47692,2415
1,59.0,52465,2506
1,60.0,56375,2687
1,61.0,58719,2883
1,62.0,59285,3116
1,63.0,58062,3367
1,64.0,54945,3662
1,65.0,50447,3961
1,66.0,45849,4284
1,67.0,40545,4660
1,68.0,35798,5058
1,69.0,31827,5469
1,70.0,28445,5896
1,71.0,25892,6326
1,72.0,24418,6836
1,73.0,23117,7326
1,74.0,22428,7857
1,75.0,22322,8381
1,76.0,22328,8933
1,77.0,22646,9435
1,78.0,23440,10084
1,79.0,24233,10624
1,80.0,25421,11203
1,81.0,26572,11801
1,82.0,27624,12534
1,83.0,28447,13215
1,84.0,29108,14011
1,85.0,29637,14795
1,86.0,29650,15710
1,87.0,29201,16671
1,88.0,28247,17724
1,89.0,27279,18822
1,90.0,25654,19945
1,91.0,23936,21100
1,92.0,22034,22263
1,93.0,20062,23462
1,94.0,18026,24637
1,95.0,15992,25780
1,96.0,14088,27048
1,97.0,12602,28197
1,98.0,11284,29185
1,99.0,10195,29935
1,100.0,9247,30489
1,101.0,8594,31103
1,102.0,7966,31392
1,103.0,7557,31466
1,104.0,7197,31455
1,105.0,6951,31275
1,106.0,6736,30876
1,107.0,6541,30500
1,108.0,6481,29750
1,109.0,6492,28897
1,110.0,6559,28096
1,111.0,6627,26987
1,112.0,6709,25992
1,113.0,6979,25012
1,114.0,7226,24083
1,115.0,7456,23146
1,116.0,7754,22229
1,117.0,8193,21337
1,118.0,8661,20463
1,119.0,9133,19651
1,120.0,9645,18799
1,121.0,10280,18222
1,122.0,10983,17583
1,123.0,11746,17084
1,124.0,12505,16532
1,125.0,13528,16190
1,126.0,14574,16036
1,127.0,15512,15751
1,128.0,16574,15675
1,129.0,17676,15728
1,130.0,18687,15726
1,131.0,19657,15815
1,132.0,20689,16027
1,133.0,21588,16290
1,134.0,22254,16604
1,135.0,22788,17029
1,136.0,23219,17555
1,137.0,23333,18146
1,138.0,23175,18773
1,139.0,22840,19500
1,140.0,22445,20287
1,141.0,21546,21187
1,142.0,20655,22141
1,143.0,19706,23012
1,144.0,18687,23787
1,145.0,17586,24782
1,146.0,16473,25622
1,147.0,15328,26446
1,148.0,14314,27162
1,149.0,13376,27835
1,150.0,12529,28556
1,151.0,11669,29126
1,152.0,11014,29607
1,153.0,10397,29899
1,154.0,9893,30247
1,155.0,9396,30344
1,156.0,9089,30298
1,157.0,8847,30263
1,158.0,8580,29877
1,159.0,8352,29626
1,160.0,8165,29129
1,161.0,8023,28517
1,162.0,7966,28065
1,163.0,7986,27327
1,164.0,7911,26545
1,165.0,7935,25822
1,166.0,8088,25015
1,167.0,8169,24112
1,168.0,8299,23338
1,169.0,8529,22559
1,170.0,8889,22066
1,171.0,9278,21374
1,172.0,9646,20685
1,173.0,10033,20061
1,174.0,10553,19382
1,175.0,11180,18827
1,176.0,11889,18376
1,177.0,12604,17884
1,178.0,13315,17487
1,179.0,14014,17197
1,180.0,14875,17118
1,181.0,15716,17114
1,182.0,16579,17142
1,183.0,17356,17037
1,184.0,18189,17147
1,185.0,18973,17308
1,186.0,19720,17637
1,187.0,20350,17985
1,188.0,20801,18327
1,189.0,21114,18755
1,190.0,21240,19269
1,191.0,21165,19886
1,192.0,21019,20549
1,193.0,20497,21184
1,194.0,20103,21876
1,195.0,19468,22514
1,196.0,18810,23310
1,197.0,17935,24065
1,198.0,17062,24925
1,199.0,16008,25730
1,200.0,14985,26546
