"run","tick","Wolf Count","Sheep Count"
1,1.0,681,422
1,2.0,760,444
1,3.0,842,457
1,4.0,947,493
1,5.0,1048,507
1,6.0,1145,537
1,7.0,1249,557
1,8.0,1386,562
1,9.0,1525,574
1,10.0,1632,596
1,11.0,1789,604
1,12.0,1927,625
1,13.0,2095,654
1,14.0,2264,689
1,15.0,2362,729
1,16.0,2480,776
1,17.0,2567,818
1,18.0,2607,879
1,19.0,2630,944
1,20.0,2640,1006
1,21.0,2585,1069
1,22.0,2504,1142
1,23.0,2402,1227
1,24.0,2202,1313
1,25.0,1987,1404
1,26.0,1782,1515
1,27.0,1605,1607
1,28.0,1387,1711
1,29.0,1136,1844
1,30.0,969,1951
1,31.0,825,2061
1,32.0,722,2137
1,33.0,619,2200
1,34.0,536,2286
1,35.0,478,2405
1,36.0,410,2443
1,37.0,358,2472
1,38.0,327,2464
1,39.0,296,2466
1,40.0,277,2440
1,41.0,258,2366
1,42.0,220,2253
1,43.0,210,2176
1,44.0,210,2093
1,45.0,212,2063
1,46.0,216,1998
1,47.0,212,1873
1,48.0,207,1719
1,49.0,217,1635
1,50.0,225,1524
1,51.0,227,1421
1,52.0,232,1290
1,53.0,244,1186
1,54.0,265,1085
1,55.0,288,1010
1,56.0,309,942
1,57.0,330,859
1,58.0,369,799
1,59.0,409,730
1,60.0,471,687
1,61.0,541,653
1,62.0,602,634
1,63.0,668,584
1,64.0,766,568
1,65.0,862,535
1,66.0,944,526
1,67.0,1080,518
1,68.0,1219,520
1,69.0,1359,493
1,70.0,1500,507
1,71.0,1675,507
1,72.0,1847,531
1,73.0,2016,528
1,74.0,2216,565
1,75.0,2318,595
1,76.0,2411,630
1,77.0,2437,681
1,78.0,2412,724
1,79.0,2317,767
1,80.0,2235,808
1,81.0,2041,862
1,82.0,1887,902
1,83.0,1714,963
1,84.0,1540,1020
1,85.0,1377,1071
1,86.0,1226,1116
1,87.0,1120,1165
1,88.0,1038,1231
1,89.0,1004,1284
1,90.0,951,1348
1,91.0,909,1404
1,92.0,857,1483
1,93.0,867,1510
1,94.0,820,1555
1,95.0,791,1587
1,96.0,775,1639
1,97.0,762,1692
1,98.0,750,1716
1,99.0,738,1754
1,100.0,734,1757
1,101.0,711,1747
1,102.0,690,1729
1,103.0,678,1747
1,104.0,663,1754
1,105.0,656,1725
1,106.0,653,1753
1,107.0,660,1789
1,108.0,652,1786
1,109.0,637,1741
1,110.0,622,1735
1,111.0,584,1674
1,112.0,595,1676
1,113.0,591,1624
1,114.0,610,1601
1,115.0,618,1569
1,116.0,598,1554
1,117.0,600,1552
1,118.0,573,1547
1,119.0,603,1489
1,120.0,612,1455
1,121.0,636,1382
1,122.0,647,1353
1,123.0,648,1321
1,124.0,656,1273
1,125.0,681,1265
1,126.0,695,1274
1,127.0,757,1236
1,128.0,791,1198
1,129.0,851,1199
1,130.0,879,1189
1,131.0,920,1187
1,132.0,934,1155
1,133.0,986,1167
1,134.0,1036,1170
1,135.0,1083,1180
1,136.0,1091,1198
1,137.0,1120,1235
1,138.0,1154,1237
1,139.0,1187,1271
1,140.0,1238,1266
1,141.0,1255,1295
1,142.0,1242,1328
1,143.0,1212,1349
1,144.0,1170,1394
1,145.0,1167,1432
1,146.0,1105,1453
1,147.0,1057,1493
1,148.0,1024,1541
1,149.0,965,1574
1,150.0,944,1620
1,151.0,888,1664
1,152.0,809,1664
1,153.0,777,1697
1,154.0,757,1733
1,155.0,733,1757
1,156.0,718,1784
1,157.0,707,1792
1,158.0,681,1801
1,159.0,681,1784
1,160.0,636,1728
1,161.0,630,1713
1,162.0,612,1706
1,163.0,631,1676
1,164.0,647,1634
1,165.0,630,1617
1,166.0,659,1565
1,167.0,638,1579
1,168.0,637,1546
1,169.0,630,1528
1,170.0,657,1512
1,171.0,682,1463
1,172.0,694,1402
1,173.0,729,1379
1,174.0,771,1365
1,175.0,754,1339
1,176.0,803,1315
1,177.0,806,1297
1,178.0,824,1298
1,179.0,859,1274
1,180.0,877,1261
1,181.0,887,1244
1,182.0,925,1253
1,183.0,972,1228
1,184.0,1010,1260
1,185.0,1044,1262
1,186.0,1112,1285
1,187.0,1123,1307
1,188.0,1145,1324
1,189.0,1150,1323
1,190.0,1184,1384
1,191.0,1169,1433
1,192.0,1133,1476
1,193.0,1090,1497
1,194.0,1095,1556
1,195.0,1079,1586
1,196.0,1042,1612
1,197.0,1025,1640
1,198.0,989,1685
1,199.0,932,1708
1,200.0,857,1729
